t,UAB(V),UAB,delay,output
0,95.195,0.95195,-0.00195,0.95
0.000625,95.194,0.95194,-0.00195,0.94999
0.00125,95.177,0.95177,-0.00195,0.94982
0.001875,95.177,0.95177,-0.00195,0.94982
0.0025,95.177,0.95177,-0.00195,0.94982
0.003125,95.178,0.95178,-0.00195,0.94983
0.00375,95.178,0.95178,-0.00195,0.94983
0.004375,95.195,0.95195,-0.00195,0.95
0.005,95.207,0.95207,-0.00195,0.95012
0.005625,95.207,0.95207,-0.00195,0.95012
0.00625,95.208,0.95208,-0.00195,0.95013
0.006875,95.208,0.95208,-0.00195,0.95013
0.0075,95.208,0.95208,-0.00195,0.95013
0.008125,95.207,0.95207,-0.00195,0.95012
0.00875,95.207,0.95207,-0.00195,0.95012
0.009375,95.206,0.95206,-0.00195,0.95011
0.01,95.206,0.95206,-0.00195,0.95011
0.010625,95.206,0.95206,-0.00195,0.95011
0.01125,95.191,0.95191,-0.00195,0.94996
0.011875,95.191,0.95191,-0.00195,0.94996
0.0125,95.192,0.95192,-0.00195,0.94997
0.013125,95.191,0.95191,-0.00195,0.94996
0.01375,95.192,0.95192,-0.00195,0.94997
0.014375,95.192,0.95192,-0.00195,0.94997
0.015,95.171,0.95171,-0.00195,0.94976
0.015625,95.172,0.95172,-0.00195,0.94977
0.01625,95.171,0.95171,-0.00195,0.94976
0.016875,95.172,0.95172,-0.00195,0.94977
0.0175,95.172,0.95172,-0.00195,0.94977
0.018125,95.171,0.95171,-0.00195,0.94976
0.01875,95.171,0.95171,-0.00195,0.94976
0.019375,95.17,0.9517,-0.00195,0.94975
0.02,95.17,0.9517,-0.00195,0.94975
0.020625,95.169,0.95169,-0.00195,0.94974
0.02125,95.179,0.95179,-0.00195,0.94984
0.021875,95.178,0.95178,-0.00195,0.94983
0.0225,95.178,0.95178,-0.00195,0.94983
0.023125,95.178,0.95178,-0.00195,0.94983
0.02375,95.179,0.95179,-0.00195,0.94984
0.024375,95.169,0.95169,-0.00195,0.94974
0.025,95.152,0.95152,-0.00195,0.94957
0.025625,95.152,0.95152,-0.00195,0.94957
0.02625,95.151,0.95151,-0.00195,0.94956
0.026875,95.152,0.95152,-0.00195,0.94957
0.0275,95.151,0.95151,-0.00195,0.94956
0.028125,95.151,0.95151,-0.00195,0.94956
0.02875,95.15,0.9515,-0.00195,0.94955
0.029375,95.15,0.9515,-0.00195,0.94955
0.03,95.149,0.95149,-0.00195,0.94954
