t,UAB
0,0.9548
0.000156,0.9548
0.000313,0.9548
0.000469,0.9548
0.000625,0.9548
0.000781,0.9548
0.000937,0.9548
0.001094,0.9548
0.00125,0.9548
0.001406,0.9548
0.001563,0.9548
0.001719,0.9548
0.001875,0.9548
0.002031,0.9548
0.002188,0.9548
0.002344,0.9548
0.0025,0.9548
0.002656,0.9548
0.002812,0.9548
0.002969,0.9548
0.003125,0.9548
0.003281,0.9548
0.003438,0.9548
0.003594,0.9548
0.00375,0.9548
0.003906,0.9548
0.004063,0.9548
0.004219,0.9548
0.004375,0.9548
0.004531,0.9548
0.004687,0.9548
0.004844,0.9548
0.005,0.9548
0.005156,0.9548
0.005313,0.9548
0.005469,0.9548
0.005625,0.9548
0.005781,0.9548
0.005938,0.9548
0.006094,0.9548
0.00625,0.9548
0.006406,0.9548
0.006562,0.9548
0.006719,0.9548
0.006875,0.9548
0.007031,0.9548
0.007188,0.9548
0.007344,0.9548
0.0075,0.9548
0.007656,0.9548
0.007813,0.9548
0.007969,0.9548
0.008125,0.9548
0.008281,0.9548
0.008438,0.9548
0.008594,0.9548
0.00875,0.9548
0.008906,0.9548
0.009062,0.9548
0.009219,0.9548
0.009375,0.9548
0.009531,0.9548
0.009687,0.9548
0.009844,0.9548
0.01,0.9548
0.010156,0.9548
0.010313,0.9548
0.010469,0.9548
0.010625,0.9548
0.010781,0.9548
0.010937,0.9548
0.011094,0.9548
0.01125,0.9548
0.011406,0.9548
0.011563,0.9548
0.011719,0.9548
0.011875,0.9548
0.012031,0.9548
0.012188,0.9548
0.012344,0.9548
0.0125,0.9548
0.012656,0.9548
0.012812,0.9548
0.012969,0.9548
0.013125,0.9548
0.013281,0.9548
0.013438,0.9548
0.013594,0.9548
0.01375,0.9548
0.013906,0.9548
0.014063,0.9548
0.014219,0.9548
0.014375,0.9548
0.014531,0.9548
0.014687,0.9548
0.014844,0.9548
0.015,0.9548
0.015156,0.9548
0.015313,0.9548
0.015469,0.9548
0.015625,0.9548
0.015781,0.9548
0.015938,0.9548
0.016094,0.9548
0.01625,0.9548
0.016406,0.9548
0.016563,0.9548
0.016719,0.9548
0.016875,0.9548
0.017031,0.9548
0.017188,0.9548
0.017344,0.9548
0.0175,0.9548
0.017656,0.9548
0.017812,0.9548
0.017969,0.9548
0.018125,0.9548
0.018281,0.9548
0.018437,0.9548
0.018594,0.9548
0.01875,0.9548
0.018906,0.9548
0.019063,0.9548
0.019219,0.9548
0.019375,0.9548
0.019531,0.9548
0.019688,0.9548
0.019844,0.9548
0.02,0.9548
0.020156,0.9548
0.020313,0.9548
0.020469,0.9548
0.020625,0.9548
0.020781,0.9548
0.020938,0.9548
0.021094,0.9548
0.02125,0.9548
0.021406,0.9548
0.021562,0.9548
0.021719,0.9548
0.021875,0.9548
0.022031,0.9548
0.022187,0.9548
0.022344,0.9548
0.0225,0.9548
0.022656,0.9548
0.022812,0.9548
0.022969,0.9548
0.023125,0.9548
0.023281,0.9548
