t,UAB(V),delta,UAB
0,95.477,0.95477,0.95
0.000625,95.476,0.95476,0.94999
0.00125,95.475,0.95475,0.94998
0.001875,95.474,0.95474,0.94997
0.0025,95.476,0.95476,0.94999
0.003125,95.475,0.95475,0.94998
0.00375,95.476,0.95476,0.94999
0.004375,95.474,0.95474,0.94997
0.005,95.474,0.95474,0.94997
0.005625,95.473,0.95473,0.94996
0.00625,95.474,0.95474,0.94997
0.006875,95.474,0.95474,0.94997
0.0075,95.474,0.95474,0.94997
0.008125,95.474,0.95474,0.94997
0.00875,95.474,0.95474,0.94997
0.009375,95.473,0.95473,0.94996
0.01,95.473,0.95473,0.94996
0.010625,95.471,0.95471,0.94994
0.01125,95.471,0.95471,0.94994
0.011875,95.471,0.95471,0.94994
0.0125,95.47,0.9547,0.94993
0.013125,95.47,0.9547,0.94993
0.01375,95.47,0.9547,0.94993
0.014375,95.471,0.95471,0.94994
0.015,95.473,0.95473,0.94996
0.015625,95.476,0.95476,0.94999
0.01625,95.477,0.95477,0.95
0.016875,95.478,0.95478,0.95001
0.0175,95.478,0.95478,0.95001
0.018125,95.478,0.95478,0.95001
0.01875,95.477,0.95477,0.95
0.019375,95.475,0.95475,0.94998
0.02,95.476,0.95476,0.94999
0.020625,95.475,0.95475,0.94998
0.02125,95.474,0.95474,0.94997
0.021875,95.474,0.95474,0.94997
0.0225,95.474,0.95474,0.94997
0.023125,95.474,0.95474,0.94997
0.02375,95.474,0.95474,0.94997
0.024375,95.476,0.95476,0.94999
0.025,95.478,0.95478,0.95001
0.025625,95.479,0.95479,0.95002
0.02625,95.48,0.9548,0.95003
0.026875,95.48,0.9548,0.95003
0.0275,95.481,0.95481,0.95004
0.028125,95.481,0.95481,0.95004
0.02875,95.48,0.9548,0.95003
0.029375,95.479,0.95479,0.95002
0.03,95.477,0.95477,0.95
0.030625,95.476,0.95476,0.94999
0.03125,95.472,0.95472,0.94995
0.031875,95.472,0.95472,0.94995
0.0325,95.471,0.95471,0.94994
0.033125,95.471,0.95471,0.94994
0.03375,95.47,0.9547,0.94993
0.034375,95.472,0.95472,0.94995
0.035,95.473,0.95473,0.94996
0.035625,95.473,0.95473,0.94996
0.03625,95.474,0.95474,0.94997
0.036875,95.475,0.95475,0.94998
0.0375,95.475,0.95475,0.94998
0.038125,95.475,0.95475,0.94998
0.03875,95.475,0.95475,0.94998
0.039375,95.474,0.95474,0.94997
0.04,95.472,0.95472,0.94995
0.040625,95.473,0.95473,0.94996
0.04125,95.473,0.95473,0.94996
0.041875,95.473,0.95473,0.94996
0.0425,95.47,0.9547,0.94993
0.043125,95.47,0.9547,0.94993
0.04375,95.471,0.95471,0.94994
0.044375,95.472,0.95472,0.94995
0.045,95.473,0.95473,0.94996
0.045625,95.474,0.95474,0.94997
0.04625,95.475,0.95475,0.94998
0.046875,95.476,0.95476,0.94999
0.0475,95.476,0.95476,0.94999
0.048125,95.476,0.95476,0.94999
0.04875,95.476,0.95476,0.94999
0.049375,95.475,0.95475,0.94998
0.05,95.473,0.95473,0.94996
0.050625,95.473,0.95473,0.94996
0.05125,95.47,0.9547,0.94993
0.051875,95.47,0.9547,0.94993
0.0525,95.47,0.9547,0.94993
0.053125,95.469,0.95469,0.94992
0.05375,95.472,0.95472,0.94995
0.054375,95.471,0.95471,0.94994
0.055,95.469,0.95469,0.94992
0.055625,95.47,0.9547,0.94993
0.05625,95.471,0.95471,0.94994
0.056875,95.471,0.95471,0.94994
0.0575,95.471,0.95471,0.94994
0.058125,95.472,0.95472,0.94995
0.05875,95.471,0.95471,0.94994
0.059375,95.47,0.9547,0.94993
0.06,95.47,0.9547,0.94993
0.060625,95.47,0.9547,0.94993
0.06125,95.466,0.95466,0.94989
0.061875,95.465,0.95465,0.94988
0.0625,95.466,0.95466,0.94989
0.063125,95.465,0.95465,0.94988
0.06375,95.465,0.95465,0.94988
0.064375,95.466,0.95466,0.94989
0.065,95.467,0.95467,0.9499
0.065625,95.467,0.95467,0.9499
0.06625,95.469,0.95469,0.94992
0.066875,95.469,0.95469,0.94992
0.0675,95.469,0.95469,0.94992
0.068125,95.469,0.95469,0.94992
0.06875,95.469,0.95469,0.94992
0.069375,95.467,0.95467,0.9499
0.07,95.464,0.95464,0.94987
0.070625,95.464,0.95464,0.94987
0.07125,95.463,0.95463,0.94986
0.071875,95.462,0.95462,0.94985
0.0725,95.46,0.9546,0.94983
0.073125,95.46,0.9546,0.94983
0.07375,95.46,0.9546,0.94983
0.074375,95.458,0.95458,0.94981
0.075,95.459,0.95459,0.94982
0.075625,95.459,0.95459,0.94982
0.07625,95.46,0.9546,0.94983
0.076875,95.461,0.95461,0.94984
0.0775,95.461,0.95461,0.94984
0.078125,95.461,0.95461,0.94984
0.07875,95.46,0.9546,0.94983
0.079375,95.459,0.95459,0.94982
0.08,95.458,0.95458,0.94981
0.080625,95.454,0.95454,0.94977
0.08125,95.452,0.95452,0.94975
0.081875,95.451,0.95451,0.94974
0.0825,95.449,0.95449,0.94972
0.083125,95.448,0.95448,0.94971
0.08375,95.448,0.95448,0.94971
0.084375,95.445,0.95445,0.94968
0.085,95.446,0.95446,0.94969
0.085625,95.448,0.95448,0.94971
0.08625,95.45,0.9545,0.94973
0.086875,95.45,0.9545,0.94973
0.0875,95.45,0.9545,0.94973
