t,UAB
0,0.95
0.005,0.94998
0.01,0.94999
0.015,0.94998
0.02,0.95001
0.025,0.95001
0.03,0.95002
0.035,0.95003
0.04,0.95002
0.045,0.95006
0.05,0.95003
0.055,0.95009
0.06,0.95007
0.065,0.95009
0.07,0.95008
0.075,0.95009
0.08,0.95006
0.085,0.95009
0.09,0.95006
0.095,0.95008
0.1,0.95004
0.105,0.95005
0.11,0.95001
0.115,0.95001
0.12,0.94999
0.125,0.94998
0.13,0.94998
0.135,0.94995
0.14,0.94995
0.145,0.94992
0.15,0.94992
0.155,0.94989
0.16,0.9499
0.165,0.94989
0.17,0.94989
0.175,0.94989
0.18,0.9499
0.185,0.94991
0.19,0.94993
0.195,0.94995
0.2,0.94996
0.205,0.94997
0.21,0.94996
0.215,0.95001
0.22,0.94999
0.225,0.95004
0.23,0.95002
0.235,0.95006
0.24,0.95003
0.245,0.95009
0.25,0.95004
0.255,0.95008
0.26,0.95003
0.265,0.95003
0.27,0.95001
0.275,0.94998
0.28,0.94997
0.285,0.94994
0.29,0.94993
0.295,0.94991
0.3,0.94992
0.305,0.94991
0.31,0.94992
0.315,0.9499
0.32,0.94991
0.325,0.94993
0.33,0.94994
0.335,0.94995
0.34,0.94996
0.345,0.94996
0.35,0.94997
0.355,0.95
0.36,0.94999
0.365,0.95005
0.37,0.95002
0.375,0.9501
0.38,0.95005
0.385,0.9501
0.39,0.95006
0.395,0.95006
0.4,0.95002
0.405,0.95002
0.41,0.95
0.415,0.94999
0.42,0.94998
0.425,0.94997
0.43,0.94996
0.435,0.94994
0.44,0.94996
0.445,0.94993
0.45,0.94995
0.455,0.94993
0.46,0.94994
0.465,0.94993
0.47,0.94995
0.475,0.94995
0.48,0.94994
0.485,0.94996
0.49,0.94996
0.495,0.95
0.5,0.95
0.505,0.95006
0.51,0.95003
0.515,0.95011
0.52,0.95005
0.525,0.9501
0.53,0.95003
0.535,0.95004
0.54,0.95
0.545,0.94999
0.55,0.94997
0.555,0.94996
0.56,0.94995
0.565,0.94996
0.57,0.94996
0.575,0.94994
0.58,0.94995
0.585,0.94992
0.59,0.94994
0.595,0.94992
0.6,0.94994
0.605,0.94993
0.61,0.94994
0.615,0.94996
0.62,0.94997
0.625,0.95
0.63,0.94999
0.635,0.95003
0.64,0.95
0.645,0.95004
0.65,0.95001
0.655,0.95004
0.66,0.95001
0.665,0.95004
0.67,0.95
0.675,0.95001
0.68,0.94997
0.685,0.94998
0.69,0.94995
0.695,0.94996
0.7,0.94994
0.705,0.94995
0.71,0.94994
0.715,0.94991
0.72,0.94992
0.725,0.9499
0.73,0.94992
0.735,0.94992
0.74,0.94994
0.745,0.94995
0.75,0.94995
0.755,0.94998
0.76,0.94997
0.765,0.95001
0.77,0.95
0.775,0.95003
0.78,0.95001
0.785,0.95006
0.79,0.95004
0.795,0.95006
0.8,0.95005
0.805,0.95007
0.81,0.95003
0.815,0.95006
0.82,0.95001
