t,UAB,UFD(V),IFD(A)
0,0.956,165.405,532.26
0.00008,0.956,165.405,532.26
0.00016,0.956,166.016,532.26
0.00023,0.956,166.016,532.26
0.00031,0.956,166.016,532.26
0.00039,0.956,166.016,532.26
0.00047,0.956,166.016,532.26
0.00055,0.956,166.016,532.26
0.00063,0.956,166.016,532.26
0.0007,0.956,166.016,532.26
0.00078,0.956,165.405,532.26
0.00086,0.956,165.405,532.26
0.00094,0.956,164.795,532.26
0.00102,0.956,164.795,532.26
0.00109,0.956,164.185,532.26
0.00117,0.956,163.574,532.26
0.00125,0.956,163.574,532.26
0.00133,0.956,162.964,532.26
0.00141,0.956,162.964,532.26
0.00148,0.955,162.354,532.26
0.00156,0.955,161.743,532.26
0.00164,0.955,161.133,532.26
0.00172,0.955,161.133,532.26
0.0018,0.955,161.133,532.26
0.00188,0.955,161.133,532.26
0.00195,0.955,161.133,532.26
0.00203,0.955,161.133,532.26
0.00211,0.955,161.133,532.26
0.00219,0.955,161.133,532.26
0.00227,0.955,161.743,532.26
0.00234,0.955,161.743,532.26
0.00242,0.955,162.354,532.26
0.0025,0.955,162.354,532.26
0.00258,0.955,162.354,532.26
0.00266,0.955,162.964,532.26
0.00273,0.955,163.574,532.26
0.00281,0.955,163.574,532.26
0.00289,0.955,164.185,532.26
0.00297,0.955,164.185,532.26
0.00305,0.955,164.795,532.26
0.00313,0.955,164.795,532.26
0.0032,0.955,164.795,532.26
0.00328,0.955,164.795,532.26
0.00336,0.955,165.405,532.26
0.00344,0.955,165.405,532.26
0.00352,0.955,165.405,532.26
0.00359,0.955,166.016,532.26
0.00367,0.955,166.016,532.26
0.00375,0.955,165.405,532.26
0.00383,0.955,166.016,532.26
0.00391,0.955,165.405,532.26
0.00398,0.955,165.405,532.26
0.00406,0.955,165.405,532.26
0.00414,0.955,165.405,532.26
0.00422,0.955,165.405,532.26
0.0043,0.955,164.795,532.26
0.00438,0.955,164.185,532.26
0.00445,0.955,164.185,532.26
0.00453,0.955,163.574,532.26
0.00461,0.955,162.964,532.26
0.00469,0.955,162.964,532.26
