t,UABreal,UFD,IFD,UAB
0,94.994,101.66,933.27,0.94994
0.005,94.995,101.7,933.02,0.94995
0.01,94.989,101.67,933.14,0.94989
0.015,94.991,101.89,933.09,0.94991
0.02,94.987,102.02,932.59,0.94987
0.025,94.988,101.93,930.89,0.94988
0.03,94.972,101.58,931.67,0.94972
0.035,94.972,101.46,929.14,0.94972
0.04,94.959,101.09,927.71,0.94959
0.045,94.962,101.15,926.91,0.94962
0.05,94.958,101.22,925.38,0.94958
0.055,94.96,101.54,926.63,0.9496
0.06,94.961,101.89,926.77,0.94961
0.065,94.963,102.08,927.11,0.94963
0.07,94.963,102.35,928.77,0.94963
0.075,94.964,102.31,926.65,0.94964
0.08,94.955,102.24,927.23,0.94955
0.085,94.956,102.47,927.41,0.94956
0.09,94.949,102.23,927.48,0.94949
0.095,94.951,102.14,928.32,0.94951
0.1,94.945,101.67,931.12,0.94945
0.105,94.946,101.68,930.68,0.94946
0.11,94.942,101.76,930.91,0.94942
0.115,94.943,101.97,930.63,0.94943
0.12,94.944,102.41,928.77,0.94944
0.125,94.946,102.52,929.14,0.94946
0.13,94.942,102.15,926.23,0.94942
0.135,94.944,102.37,925.88,0.94944
0.14,94.934,102.03,928.64,0.94934
0.145,94.936,101.9,930.89,0.94936
0.15,94.933,102,931.92,0.94933
0.155,94.935,102.07,933.6,0.94935
0.16,94.935,102.27,933.21,0.94935
0.165,94.938,102.39,933.18,0.94938
0.17,94.934,102.68,935.52,0.94934
0.175,94.937,102.59,937.38,0.94937
0.18,94.933,102.46,936.2,0.94933
0.185,94.934,102.78,936.35,0.94934
0.19,94.934,102.39,934.69,0.94934
0.195,94.935,102.42,933.79,0.94935
0.2,94.919,101.94,930.82,0.94919
0.205,94.92,101.57,928.34,0.9492
0.21,94.908,101.3,930.2,0.94908
0.215,94.909,101.47,929.84,0.94909
0.22,94.906,101.75,929.11,0.94906
0.225,94.908,102.24,930.81,0.94908
0.23,94.905,102.55,929.9,0.94905
0.235,94.908,102.6,928.58,0.94908
0.24,94.907,102.66,929.16,0.94907
0.245,94.908,102.48,927.51,0.94908
0.25,94.903,102.23,928.61,0.94903
0.255,94.904,102.29,927.65,0.94904
0.26,94.899,102.14,929.02,0.94899
0.265,94.901,102.02,930.58,0.94901
0.27,94.889,102.24,926.81,0.94889
0.275,94.892,102.33,926.4,0.94892
0.28,94.886,102.33,927.28,0.94886
0.285,94.888,102.61,926.38,0.94888
