t,UAB(V),1,UAB
0,94.973,0.94973,0.95
0.000625,94.974,0.94974,0.95001
0.00125,94.983,0.94983,0.9501
0.001875,94.978,0.94978,0.95005
0.0025,94.982,0.94982,0.95009
0.003125,94.985,0.94985,0.95012
0.00375,94.984,0.94984,0.95011
0.004375,94.984,0.94984,0.95011
0.005,94.984,0.94984,0.95011
0.005625,94.984,0.94984,0.95011
0.00625,94.985,0.94985,0.95012
0.006875,94.993,0.94993,0.9502
0.0075,94.99,0.9499,0.95017
0.008125,94.995,0.94995,0.95022
0.00875,94.99,0.9499,0.95017
0.009375,94.988,0.94988,0.95015
0.01,94.989,0.94989,0.95016
0.010625,94.989,0.94989,0.95016
0.01125,94.988,0.94988,0.95015
0.011875,94.988,0.94988,0.95015
0.0125,94.99,0.9499,0.95017
0.013125,94.991,0.94991,0.95018
0.01375,94.991,0.94991,0.95018
0.014375,94.991,0.94991,0.95018
0.015,94.992,0.94992,0.95019
0.015625,94.992,0.94992,0.95019
0.01625,94.991,0.94991,0.95018
0.016875,94.987,0.94987,0.95014
0.0175,94.987,0.94987,0.95014
0.018125,94.986,0.94986,0.95013
0.01875,94.99,0.9499,0.95017
0.019375,94.988,0.94988,0.95015
0.02,94.991,0.94991,0.95018
0.020625,94.987,0.94987,0.95014
0.02125,94.985,0.94985,0.95012
0.021875,94.988,0.94988,0.95015
0.0225,94.985,0.94985,0.95012
0.023125,94.986,0.94986,0.95013
0.02375,94.986,0.94986,0.95013
0.024375,94.986,0.94986,0.95013
0.025,94.986,0.94986,0.95013
0.025625,94.986,0.94986,0.95013
0.02625,94.985,0.94985,0.95012
0.026875,94.977,0.94977,0.95004
0.0275,94.979,0.94979,0.95006
0.028125,94.979,0.94979,0.95006
0.02875,94.979,0.94979,0.95006
0.029375,94.983,0.94983,0.9501
0.03,94.987,0.94987,0.95014
0.030625,94.991,0.94991,0.95018
0.03125,94.988,0.94988,0.95015
0.031875,94.987,0.94987,0.95014
0.0325,94.986,0.94986,0.95013
0.033125,94.987,0.94987,0.95014
0.03375,94.986,0.94986,0.95013
