t,UAB
0,0.950038
0.000195,0.950039
0.000391,0.950039
0.000586,0.950039
0.000781,0.950039
0.000977,0.95004
0.001172,0.95004
0.001367,0.95004
0.001563,0.95004
0.001758,0.950041
0.001953,0.950041
0.002148,0.950041
0.002344,0.950041
0.002539,0.950041
0.002734,0.950041
0.00293,0.950041
0.003125,0.950041
0.00332,0.950041
0.003516,0.950041
0.003711,0.950041
0.003906,0.950041
0.004102,0.950041
0.004297,0.950041
0.004492,0.950041
0.004687,0.95004
0.004883,0.95004
0.005078,0.95004
0.005273,0.95004
0.005469,0.95004
0.005664,0.95004
0.005859,0.95004
0.006055,0.95004
0.00625,0.95004
0.006445,0.95004
0.006641,0.95004
0.006836,0.95004
0.007031,0.95004
0.007227,0.95004
0.007422,0.95004
0.007617,0.950039
0.007813,0.950039
0.008008,0.950039
0.008203,0.950039
0.008398,0.950039
0.008594,0.950039
0.008789,0.950039
0.008984,0.950039
0.00918,0.950039
0.009375,0.950039
0.00957,0.950039
0.009766,0.950039
0.009961,0.950039
0.010156,0.950039
0.010352,0.950039
0.010547,0.950039
0.010742,0.950038
0.010937,0.950038
0.011133,0.950038
0.011328,0.950038
0.011523,0.950038
0.011719,0.950038
0.011914,0.950038
0.012109,0.950038
0.012305,0.950038
0.0125,0.950038
0.012695,0.950038
0.012891,0.950038
0.013086,0.950038
0.013281,0.950038
0.013477,0.950038
0.013672,0.950038
0.013867,0.950038
0.014063,0.950037
0.014258,0.950037
0.014453,0.950037
0.014648,0.950037
0.014844,0.950037
0.015039,0.950037
0.015234,0.950037
0.01543,0.950037
0.015625,0.950037
0.01582,0.950037
0.016016,0.950037
0.016211,0.950037
0.016406,0.950037
0.016602,0.950037
0.016797,0.950037
0.016992,0.950037
0.017188,0.950036
0.017383,0.950036
0.017578,0.950036
0.017773,0.950036
0.017969,0.950036
0.018164,0.950036
0.018359,0.950036
0.018555,0.950036
0.01875,0.950036
0.018945,0.950036
0.019141,0.950036
0.019336,0.950036
0.019531,0.950036
0.019727,0.950036
0.019922,0.950036
0.020117,0.950036
0.020313,0.950035
0.020508,0.950035
0.020703,0.950035
0.020898,0.950035
0.021094,0.950035
0.021289,0.950035
0.021484,0.950035
0.02168,0.950035
0.021875,0.950035
0.02207,0.950035
0.022266,0.950035
0.022461,0.950035
0.022656,0.950035
0.022852,0.950036
0.023047,0.950036
0.023242,0.950036
