t,UAB,UBC(V),UCA(V),UFD(V),IFD(V)
0,0.9494,18974.07,18987.031,210.7607,1715.4193
0.000625,0.9494,18975.599,18986.804,191.709,1710.6268
0.00125,0.9493,18977.128,18986.576,-25.9914,1145.6926
0.001875,0.9493,18978.658,18986.349,38.5007,1147.2299
0.0025,0.9492,18980.189,18986.121,115.0953,1144.9692
0.003125,0.9492,18981.718,18985.894,194.7894,1148.1858
0.00375,0.9491,18983.248,18985.666,260.9601,1139.8021
0.004375,0.9491,18982.597,18985.74,40.548,1156.9569
0.005,0.9492,18981.22,18985.914,17.8977,1168.6992
0.005625,0.9492,18979.843,18986.089,91.7011,1167.472
0.00625,0.9493,18978.466,18986.263,169.6627,1166.994
0.006875,0.9493,18977.089,18986.439,247.0298,1175.6361
0.0075,0.9494,18975.712,18986.613,114.8823,1414.0212
0.008125,0.9495,18974.334,18986.787,-18.0312,1688.8215
0.00875,0.9495,18972.957,18986.962,54.1159,1697.1147
0.009375,0.9495,18973.701,18987.238,130.221,1688.2791
0.01,0.9494,18975.152,18987.548,209.3079,1684.5458
0.010625,0.9494,18976.603,18987.859,190.6599,1690.63
0.01125,0.9493,18978.054,18988.169,-24.3638,1089.9136
0.011875,0.9493,18979.505,18988.48,45.0018,1088.6218
0.0125,0.9492,18980.957,18988.791,120.4106,1092.7426
0.013125,0.9491,18982.406,18989.101,197.3072,1090.9341
0.01375,0.9491,18983.857,18989.412,262.3843,1098.8397
0.014375,0.9491,18984.105,18989.632,37.3754,1294.6219
0.015,0.9492,18983.953,18989.824,10.6146,1290.7207
0.015625,0.9492,18983.8,18990.013,85.6197,1292.1288
0.01625,0.9493,18983.648,18990.205,163.8451,1293.4077
0.016875,0.9493,18983.494,18990.396,242.2327,1286.7937
0.0175,0.9494,18983.341,18990.585,113.9541,1377.3862
0.018125,0.9494,18983.189,18990.777,-15.3577,1559.6694
0.01875,0.9495,18983.037,18990.968,56.8022,1552.2029
0.019375,0.9495,18984.117,18991.31,135.3932,1561.6587
0.02,0.9494,18985.607,18991.705,213.0432,1565.392
0.020625,0.9494,18987.099,18992.097,187.2171,1559.8761
0.02125,0.9493,18988.591,18992.492,-26.7544,1078.3263
0.021875,0.9493,18990.082,18992.886,41.3364,1082.0208
0.0225,0.9492,18991.574,18993.279,117.9342,1077.59
0.023125,0.9491,18993.064,18993.673,197.7681,1081.1166
0.02375,0.9491,18994.556,18994.068,260.2639,1074.4897
0.024375,0.9491,18995.025,18994.293,36.1101,1527.5815
0.025,0.9492,18995.154,18994.462,13.7459,1535.4355
0.025625,0.9492,18995.281,18994.632,87.6289,1536.301
0.02625,0.9493,18995.41,18994.8,165.1326,1535.7585
0.026875,0.9493,18995.537,18994.97,242.5633,1543.8967
0.0275,0.9494,18995.666,18995.14,110.1266,1275.6586
0.028125,0.9495,18995.793,18995.31,-10.567,1342.3533
0.02875,0.9495,18995.921,18995.478,62.0285,1349.8326
0.029375,0.9495,18996.984,18995.496,138.1557,1340.9193
0.03,0.9494,18998.359,18995.46,217.1918,1337.3024
0.030625,0.9494,18999.734,18995.427,186.0822,1343.5159
0.03125,0.9493,19001.109,18995.392,-25.6036,1119.0432
0.031875,0.9493,19002.482,18995.357,46.3974,1117.1313
0.0325,0.9492,19003.857,18995.324,121.9747,1121.5105
0.033125,0.9492,19005.232,18995.289,199.0175,1119.1207
0.03375,0.9491,19006.607,18995.253,260.55,1127.6206
0.034375,0.9491,19006.189,18995.373,32.928,1702.0493
0.035,0.9492,19005.175,18995.541,9.6991,1694.3116
0.035625,0.9492,19004.162,18995.71,84.7805,1694.5183
0.03625,0.9493,19003.146,18995.878,163.2666,1697.709
0.036875,0.9493,19002.132,18996.046,241.6287,1691.1597
0.0375,0.9494,19001.119,18996.216,109.7642,1138.4329
0.038125,0.9495,19000.103,18996.384,1.3066,1113.7081
0.03875,0.9495,18999.089,18996.552,73.2662,1108.1793
0.039375,0.9495,18999.902,18996.273,152.0129,1118.8752
0.04,0.9494,19001.324,18995.843,229.3419,1122.8927
0.040625,0.9494,19002.746,18995.416,182.7442,1119.1853
0.04125,0.9493,19004.168,18994.986,-28.9288,1322.0077
0.041875,0.9492,19005.587,18994.556,40.2142,1323.7257
0.0425,0.9492,19007.009,18994.127,117.0981,1318.2228
0.043125,0.9491,19008.431,18993.699,196.6968,1323.1316
0.04375,0.9491,19009.853,18993.269,256.8242,1316.0784
0.044375,0.9491,19009.005,18993.31,31.4752,1473.6239
0.045,0.9492,19007.4,18993.509,19.767,1482.6146
0.045625,0.9492,19005.794,18993.707,93.8215,1483.7515
0.04625,0.9493,19004.189,18993.906,171.338,1480.5736
0.046875,0.9493,19002.585,18994.105,248.7782,1487.8722
0.0475,0.9494,19000.98,18994.302,105.5297,1119.4049
0.048125,0.9494,18999.375,18994.502,2.8802,1091.9805
0.04875,0.9495,18997.769,18994.701,75.7522,1099.0465
0.049375,0.9495,18998.349,18994.347,151.8826,1091.9546
0.05,0.9494,18999.658,18993.812,230.9028,1089.4614
0.050625,0.9494,19000.964,18993.275,181.7874,1094.4219
0.05125,0.9493,19002.273,18992.74,-29.3453,1606.0701
0.051875,0.9492,19003.582,18992.205,42.8178,1604.7396
0.0525,0.9492,19004.888,18991.668,118.6781,1608.4728
0.053125,0.9491,19006.197,18991.132,195.6255,1604.4037
0.05375,0.9491,19007.505,18990.597,256.1598,1613.5237
0.054375,0.9491,19006.677,18990.646,28.4679,1266.9261
0.055,0.9492,19005.138,18990.89,22.0495,1258.3488
0.055625,0.9492,19003.597,18991.132,97.1881,1258.9171
0.05625,0.9493,19002.058,18991.377,175.8554,1263.8259
0.056875,0.9493,19000.519,18991.621,254.1284,1256.7858
0.0575,0.9494,18998.98,18991.865,105.1896,1130.1654
0.058125,0.9495,18997.439,18992.109,4.6572,1120.2058
0.05875,0.9495,18995.9,18992.353,76.7504,1113.3335
0.059375,0.9495,18996.466,18992.119,155.4812,1121.4718
0.06,0.9494,18997.734,18991.726,232.9564,1127.1039
0.060625,0.9494,18999.002,18991.334,178.2237,1122.6731
0.06125,0.9493,19000.271,18990.941,-32.6927,1725.3143
0.061875,0.9493,19001.539,18990.548,36.7396,1728.4534
0.0625,0.9492,19002.806,18990.156,113.4645,1725.4694
0.063125,0.9492,19004.074,18989.763,193.184,1729.0217
0.06375,0.9491,19005.343,18989.371,252.3895,1721.9557
0.064375,0.9491,19004.695,18989.439,26.8307,1127.5173
0.065,0.9492,19003.408,18989.66,31.5578,1137.3735
0.065625,0.9492,19002.121,18989.88,105.7078,1137.4769
0.06625,0.9493,19000.835,18990.101,183.2561,1134.7125
0.066875,0.9494,18999.548,18990.322,260.6295,1143.264
0.0675,0.9494,18998.261,18990.543,101.3875,1156.4402
0.068125,0.9495,18996.974,18990.763,1.3479,1174.7189
0.06875,0.9495,18995.689,18990.984,74.4329,1182.3146
0.069375,0.9495,18996.351,18990.775,150.6841,1174.9514
0.07,0.9494,18997.666,18990.423,229.3132,1170.1589
0.070625,0.9494,18998.98,18990.074,177.3845,1176.8762
0.07125,0.9493,19000.293,18989.722,-31.4879,1711.6344
0.071875,0.9493,19001.607,18989.371,40.796,1709.8387
0.0725,0.9492,19002.921,18989.019,116.5608,1714.5538
0.073125,0.9492,19004.234,18988.669,193.5401,1713.585
0.07375,0.9491,19005.548,18988.318,251.4803,1721.7231
0.074375,0.9491,19004.878,18988.343,23.4896,1167.162
0.075,0.9492,19003.546,18988.496,23.2893,1159.8247
0.075625,0.9493,19002.216,18988.648,98.6886,1161.1165
0.07625,0.9493,19000.884,18988.8,177.3686,1163.8679
0.076875,0.9494,18999.552,18988.953,255.5399,1156.7245
0.0775,0.9494,18998.222,18989.105,100.4275,1148.3149
0.078125,0.9495,18996.89,18989.257,0.5913,1156.8278
0.07875,0.9495,18995.558,18989.41,72.9451,1149.1804
0.079375,0.9495,18995.925,18989.187,151.6187,1158.4684
0.08,0.9495,18996.859,18988.841,229.256,1163.4546
0.080625,0.9494,18997.793,18988.496,173.7127,1158.0808
0.08125,0.9493,18998.726,18988.15,-35.5602,1707.5265
0.081875,0.9493,18999.66,18987.804,34.5874,1710.9238
0.0825,0.9492,19000.593,18987.459,111.2996,1705.6921
0.083125,0.9492,19001.527,18987.111,191.0509,1707.6815
0.08375,0.9491,19002.46,18986.765,248.3808,1702.7211
0.084375,0.9492,19001.636,18986.824,22.2911,1125.8251
0.085,0.9492,19000.228,18987.017,27.0914,1133.8857
0.085625,0.9493,18998.82,18987.21,101.1427,1134.9967
0.08625,0.9493,18997.412,18987.404,178.6751,1131.8964
0.086875,0.9494,18996.003,18987.597,255.9659,1139.5696
0.0875,0.9494,18994.595,18987.791,96.2821,1153.8179
0.088125,0.9495,18993.187,18987.984,-3.5827,1173.8018
0.08875,0.9495,18991.779,18988.177,69.6612,1181.4362
0.089375,0.9495,18992.242,18988.171,146.0301,1175.2098
0.09,0.9495,18993.33,18988.099,224.8881,1170.3656
0.090625,0.9494,18994.418,18988.027,172.759,1177.3154
0.09125,0.9493,18995.503,18987.955,-33.6401,1638.5972
0.091875,0.9493,18996.591,18987.882,38.9871,1634.6443
0.0925,0.9492,18997.679,18987.81,114.9427,1639.7209
0.093125,0.9492,18998.765,18987.738,192.0014,1638.1967
0.09375,0.9491,18999.853,18987.666,247.3954,1645.5339
0.094375,0.9492,18999.171,18987.847,19.2647,1087.2396
0.095,0.9492,18997.9,18988.113,24.7135,1081.5299
0.095625,0.9493,18996.63,18988.378,100.0587,1081.1941
0.09625,0.9493,18995.359,18988.644,178.6942,1084.8756
0.096875,0.9494,18994.089,18988.912,256.643,1078.2358
0.0975,0.9494,18992.818,18989.177,95.6526,1191.3184
0.098125,0.9495,18991.546,18989.443,-3.8307,1252.9491
0.09875,0.9495,18990.277,18989.709,68.6185,1246.2577
0.099375,0.9495,18990.855,18989.632,147.3716,1254.9772
0.1,0.9495,18992.048,18989.441,224.9644,1261.0227
0.100625,0.9494,18993.242,18989.25,168.9983,1254.3831
0.10125,0.9494,18994.437,18989.058,-32.5179,1472.2804
0.101875,0.9493,18995.63,18988.869,38.1892,1476.7241
0.1025,0.9493,18996.824,18988.677,115.1621,1471.6475
0.103125,0.9492,18998.019,18988.486,194.9198,1473.1847
0.10375,0.9492,18999.212,18988.294,244.4325,1466.9066
0.104375,0.9492,18998.748,18988.414,17.5735,1061.4814
0.105,0.9492,18997.73,18988.632,28.8271,1069.7101
0.105625,0.9493,18996.712,18988.853,103.2186,1070.6403
0.10625,0.9493,18995.695,18989.074,180.8051,1068.2633
0.106875,0.9494,18994.677,18989.294,258.2993,1077.6029
0.1075,0.9495,18993.66,18989.513,92.1081,1415.4421
0.108125,0.9495,18992.642,18989.734,-7.9983,1486.6193
0.10875,0.9496,18991.625,18989.955,65.3473,1494.4215
0.109375,0.9495,18992.062,18989.847,141.5668,1487.6268
0.11,0.9495,18992.986,18989.63,220.4121,1481.7363
0.110625,0.9494,18993.91,18989.414,168.229,1488.6473
0.11125,0.9494,18994.832,18989.199,-32.4098,1451.2245
0.111875,0.9493,18995.755,18988.982,40.8468,1447.3749
0.1125,0.9493,18996.679,18988.765,116.8946,1452.5292
0.113125,0.9492,18997.601,18988.548,193.982,1451.9349
0.11375,0.9492,18998.525,18988.334,243.358,1457.2312
0.114375,0.9492,18997.97,18988.453,14.5661,1096.7212
0.115,0.9492,18996.921,18988.685,22.5104,1090.1202
0.115625,0.9493,18995.875,18988.919,97.951,1089.5389
0.11625,0.9493,18994.826,18989.152,176.7232,1093.0784
0.116875,0.9494,18993.779,18989.384,254.8469,1085.9866
0.1175,0.9495,18992.73,18989.617,91.3069,1482.2659
0.118125,0.9495,18991.683,18989.849,-8.2113,1549.9681
0.11875,0.9496,18990.634,18990.082,64.2347,1542.7212
0.119375,0.9495,18991.252,18989.775,142.9751,1550.4849
0.12,0.9495,18992.425,18989.287,220.4725,1558.3518
0.120625,0.9494,18993.597,18988.8,164.5477,1551.9316
0.12125,0.9494,18994.769,18988.312,-29.7299,1281.1874
0.121875,0.9493,18995.943,18987.824,41.4954,1286.91
0.1225,0.9493,18997.115,18987.337,118.4206,1282.0012
0.123125,0.9492,18998.289,18986.849,198.0701,1283.6548
0.12375,0.9492,18999.46,18986.361,240.373,1278.9785
0.124375,0.9492,18998.533,18986.423,13.0307,1107.6626
0.125,0.9492,18996.906,18986.669,27.4379,1115.8912
0.125625,0.9493,18995.279,18986.916,101.9979,1118.7332
0.12625,0.9493,18993.652,18987.162,179.3014,1115.1033
0.126875,0.9494,18992.025,18987.406,256.7766,1123.3965
0.1275,0.9494,18990.398,18987.652,87.4508,1664.0194
0.128125,0.9495,18988.771,18987.898,-12.0229,1725.7535
0.12875,0.9495,18987.144,18988.144,61.7074,1732.0833
0.129375,0.9495,18987.709,18987.378,137.9459,1724.0613
0.13,0.9495,18989.002,18986.275,216.7467,1718.765
0.130625,0.9494,18990.296,18985.173,163.9882,1725.3789
0.13125,0.9493,18991.589,18984.07,-20.851,1118.6815
0.131875,0.9493,18992.882,18982.968,52.8889,1114.2637
0.1325,0.9492,18994.177,18981.865,129.2418,1121.7301
0.133125,0.9492,18995.47,18980.763,206.1035,1120.5416
0.13375,0.9491,18996.763,18979.66,239.4415,1127.0652
0.134375,0.9492,18995.49,18979.599,10.2205,1274.8319
0.135,0.9492,18993.361,18979.886,20.7906,1268.1017
0.135625,0.9493,18991.232,18980.173,96.3997,1266.3966
0.13625,0.9493,18989.103,18980.459,175.3531,1270.7369
0.136875,0.9494,18986.972,18980.746,253.3973,1263.5029
0.1375,0.9494,18984.843,18981.033,86.9644,1568.6085
0.138125,0.9495,18982.714,18981.32,-5.3216,1579.5886
0.13875,0.9495,18980.585,18981.605,67.1021,1574.2278
0.139375,0.9495,18980.802,18980.767,145.6518,1581.9009
0.14,0.9495,18981.8,18979.552,223.0634,1588.3856
0.140625,0.9494,18982.8,18978.337,159.5408,1584.2133
0.14125,0.9493,18983.8,18977.123,-19.945,1081.0907
0.141875,0.9493,18984.798,18975.91,51.9574,1086.0253
0.1425,0.9492,18985.798,18974.695,129.0924,1080.6128
0.143125,0.9492,18986.796,18973.48,208.8882,1082.5117
0.14375,0.9491,18987.796,18972.265,236.4278,1076.634
0.144375,0.9492,18986.709,18972.175,8.5706,1502.8311
0.145,0.9492,18984.923,18972.459,23.8488,1511.3826
0.145625,0.9493,18983.14,18972.742,98.3579,1514.7412
0.14625,0.9493,18981.355,18973.025,175.5947,1510.1296
0.146875,0.9494,18979.572,18973.308,253.0126,1519.4821
0.1475,0.9494,18977.787,18973.591,82.8508,1357.002
0.148125,0.9495,18976.003,18973.875,-1.2048,1347.4041
0.14875,0.9495,18974.218,18974.158,72.5795,1353.4238
0.149375,0.9495,18974.57,18973.753,149.0787,1348.4246
0.15,0.9495,18975.632,18973.119,227.622,1342.2628
0.150625,0.9494,18976.697,18972.486,159.5853,1348.1145
0.15125,0.9494,18977.759,18971.851,-16.8614,1116.0721
0.151875,0.9493,18978.822,18971.218,56.5161,1112.4423
0.1525,0.9493,18979.884,18970.584,133.0439,1117.2864
0.153125,0.9492,18980.949,18969.951,209.8737,1117.0538
0.15375,0.9492,18982.011,18969.316,234.5999,1124.8175
0.154375,0.9492,18981.312,18969.294,5.6046,1724.2292
0.155,0.9493,18980.027,18969.476,18.7179,1716.2848
0.155625,0.9493,18978.742,18969.658,94.4764,1714.6571
0.15625,0.9494,18977.457,18969.841,173.611,1721.0902
0.156875,0.9494,18976.169,18970.023,251.3564,1712.5774
0.1575,0.9495,18974.884,18970.205,82.3517,1153.96
0.158125,0.9495,18973.599,18970.386,8.9171,1138.9496
0.15875,0.9496,18972.314,18970.57,81.5538,1133.4982
0.159375,0.9496,18973.033,18970.486,160.3355,1139.6084
0.16,0.9495,18974.421,18970.314,238.0205,1147.9274
0.160625,0.9495,18975.812,18970.142,155.335,1143.3029
0.16125,0.9494,18977.201,18969.97,-20.3741,1234.2571
0.161875,0.9494,18978.589,18969.8,50.832,1239.9021
0.1625,0.9493,18979.978,18969.628,127.7191,1235.2388
0.163125,0.9493,18981.367,18969.457,207.5753,1235.9105
0.16375,0.9492,18982.755,18969.285,231.0776,1230.4722
0.164375,0.9492,18982.14,18969.414,3.8657,1598.0999
0.165,0.9493,18980.855,18969.642,25.5241,1607.0778
