t,UAB0,UAB1,UAB2
0,95.128,0.95128,0.95
0.005,95.129,0.95129,0.95001
0.01,95.128,0.95128,0.95
0.015,95.129,0.95129,0.95001
0.02,95.129,0.95129,0.95001
0.025,95.13,0.9513,0.95002
0.03,95.132,0.95132,0.95004
0.035,95.132,0.95132,0.95004
0.04,95.134,0.95134,0.95006
0.045,95.134,0.95134,0.95006
0.05,95.134,0.95134,0.95006
0.055,95.133,0.95133,0.95005
0.06,95.134,0.95134,0.95006
0.065,95.134,0.95134,0.95006
0.07,95.134,0.95134,0.95006
0.075,95.133,0.95133,0.95005
0.08,95.131,0.95131,0.95003
0.085,95.131,0.95131,0.95003
0.09,95.129,0.95129,0.95001
0.095,95.129,0.95129,0.95001
0.1,95.128,0.95128,0.95
0.105,95.129,0.95129,0.95001
0.11,95.13,0.9513,0.95002
0.115,95.13,0.9513,0.95002
0.12,95.132,0.95132,0.95004
0.125,95.131,0.95131,0.95003
0.13,95.131,0.95131,0.95003
0.135,95.13,0.9513,0.95002
0.14,95.129,0.95129,0.95001
0.145,95.129,0.95129,0.95001
0.15,95.127,0.95127,0.94999
0.155,95.13,0.9513,0.95002
0.16,95.126,0.95126,0.94998
0.165,95.129,0.95129,0.95001
0.17,95.125,0.95125,0.94997
0.175,95.127,0.95127,0.94999
0.18,95.125,0.95125,0.94997
0.185,95.13,0.9513,0.95002
0.19,95.13,0.9513,0.95002
0.195,95.134,0.95134,0.95006
0.2,95.135,0.95135,0.95007
0.205,95.135,0.95135,0.95007
0.21,95.137,0.95137,0.95009
0.215,95.136,0.95136,0.95008
0.22,95.137,0.95137,0.95009
0.225,95.137,0.95137,0.95009
0.23,95.136,0.95136,0.95008
0.235,95.137,0.95137,0.95009
0.24,95.136,0.95136,0.95008
0.245,95.136,0.95136,0.95008
0.25,95.134,0.95134,0.95006
0.255,95.136,0.95136,0.95008
0.26,95.135,0.95135,0.95007
0.265,95.136,0.95136,0.95008
0.27,95.136,0.95136,0.95008
0.275,95.136,0.95136,0.95008
0.28,95.137,0.95137,0.95009
0.285,95.138,0.95138,0.9501
0.29,95.138,0.95138,0.9501
0.295,95.137,0.95137,0.95009
0.3,95.137,0.95137,0.95009
0.305,95.137,0.95137,0.95009
0.31,95.135,0.95135,0.95007
0.315,95.136,0.95136,0.95008
0.32,95.135,0.95135,0.95007
0.325,95.136,0.95136,0.95008
0.33,95.137,0.95137,0.95009
0.335,95.138,0.95138,0.9501
0.34,95.139,0.95139,0.95011
0.345,95.139,0.95139,0.95011
0.35,95.141,0.95141,0.95013
0.355,95.139,0.95139,0.95011
0.36,95.14,0.9514,0.95012
0.365,95.138,0.95138,0.9501
0.37,95.137,0.95137,0.95009
0.375,95.137,0.95137,0.95009
0.38,95.137,0.95137,0.95009
0.385,95.137,0.95137,0.95009
0.39,95.136,0.95136,0.95008
0.395,95.137,0.95137,0.95009
0.4,95.136,0.95136,0.95008
0.405,95.139,0.95139,0.95011
0.41,95.138,0.95138,0.9501
0.415,95.14,0.9514,0.95012
0.42,95.141,0.95141,0.95013
0.425,95.142,0.95142,0.95014
0.43,95.144,0.95144,0.95016
0.435,95.144,0.95144,0.95016
0.44,95.146,0.95146,0.95018
0.445,95.142,0.95142,0.95014
0.45,95.145,0.95145,0.95017
0.455,95.142,0.95142,0.95014
0.46,95.143,0.95143,0.95015
0.465,95.139,0.95139,0.95011
0.47,95.14,0.9514,0.95012
0.475,95.138,0.95138,0.9501
0.48,95.137,0.95137,0.95009
0.485,95.137,0.95137,0.95009
0.49,95.135,0.95135,0.95007
0.495,95.135,0.95135,0.95007
0.5,95.132,0.95132,0.95004
0.505,95.134,0.95134,0.95006
0.51,95.133,0.95133,0.95005
0.515,95.134,0.95134,0.95006
0.52,95.135,0.95135,0.95007
0.525,95.135,0.95135,0.95007
0.53,95.136,0.95136,0.95008
0.535,95.136,0.95136,0.95008
0.54,95.137,0.95137,0.95009
0.545,95.135,0.95135,0.95007
0.55,95.136,0.95136,0.95008
0.555,95.135,0.95135,0.95007
0.56,95.133,0.95133,0.95005
0.565,95.134,0.95134,0.95006
0.57,95.13,0.9513,0.95002
0.575,95.132,0.95132,0.95004
0.58,95.128,0.95128,0.95
0.585,95.132,0.95132,0.95004
0.59,95.129,0.95129,0.95001
0.595,95.133,0.95133,0.95005
0.6,95.132,0.95132,0.95004
0.605,95.135,0.95135,0.95007
0.61,95.134,0.95134,0.95006
0.615,95.135,0.95135,0.95007
0.62,95.135,0.95135,0.95007
0.625,95.135,0.95135,0.95007
0.63,95.135,0.95135,0.95007
0.635,95.134,0.95134,0.95006
0.64,95.133,0.95133,0.95005
0.645,95.132,0.95132,0.95004
0.65,95.13,0.9513,0.95002
0.655,95.131,0.95131,0.95003
