UAB(p.u.),UFD(V),IFD(A)
1.8077,-0.1079,1.4468
9.5515,6.1334,37.465
9.9667,6.4368,39.5
18.703,12.945,77.51
19.917,13.849,82.572
24.876,17.346,103.44
29.9,20.715,124.19
34.867,24.278,145.23
39.897,27.963,166.74
44.84,31.408,188.5
49.917,35.275,211.89
54.862,39.198,235.24
60.025,43.549,260.68
64.959,47.398,285.21
70.018,51.556,312.45
74.981,56.083,339.16
80.028,60.693,368.77
85.079,65.824,400
90.06,71.199,433.17
95.031,77.06,471.31
100.04,83.971,515.18
104.94,92.285,564.91
110.05,101.94,624.61
115.03,113.19,696.5
116.72,117.12,722.82
116.76,117.17,723.32
